symboling,fueltype,aspiration,enginelocation,wheelbase,carlength,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,carbody_hardtop,carbody_hatchback,carbody_sedan,carbody_wagon,drivewheel_fwd,drivewheel_rwd,enginetype_dohcv,enginetype_l,enginetype_ohc,enginetype_ohcf,enginetype_ohcv,enginetype_rotor,fuelsystem_2bbl,fuelsystem_4bbl,fuelsystem_idi,fuelsystem_mfi,fuelsystem_mpfi,fuelsystem_spdi,fuelsystem_spfi
1,1,1,0,93.7,157.3,50.6,2191,98,3.03,3.39,7.6,102,5500,24,30,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-1,1,0,0,103.3,174.6,59.8,2535,122,3.34,3.46,8.5,88,5000,24,30,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,1,0,95.9,173.2,50.2,2811,156,3.6,3.9,7.0,145,5000,19,24,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,1,0,0,86.6,144.6,50.8,1713,92,2.91,3.41,9.6,58,4800,49,54,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,0,86.6,144.6,50.8,1819,92,2.91,3.41,9.2,76,6000,31,38,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,93.7,150.0,52.6,1837,79,2.91,3.07,10.1,60,5500,38,42,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,93.7,150.0,52.6,1940,92,2.91,3.41,9.2,76,6000,30,34,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,93.7,150.0,52.6,1956,92,2.91,3.41,9.2,76,6000,30,34,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0,96.5,163.4,54.5,2010,92,2.91,3.41,9.2,76,6000,30,34,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0,96.5,157.1,58.3,2024,92,2.92,3.41,9.2,76,6000,30,34,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0,96.5,167.5,53.3,2236,110,3.15,3.58,9.0,86,5800,27,33,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0,96.5,167.5,53.3,2289,110,3.15,3.58,9.0,86,5800,27,33,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0,96.5,175.4,54.1,2304,110,3.15,3.58,9.0,86,5800,27,33,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0,96.5,175.4,54.1,2372,110,3.15,3.58,9.0,86,5800,27,33,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0,96.5,175.4,54.1,2465,110,3.15,3.58,9.0,101,5800,24,28,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,0,0,96.5,169.1,51.0,2293,110,3.15,3.58,9.1,100,5500,25,31,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0,94.3,170.7,53.5,2337,111,3.31,3.23,8.5,78,4800,24,29,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,94.5,155.9,52.0,1874,90,3.03,3.11,9.6,70,5400,38,43,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0,94.5,155.9,52.0,1909,90,3.03,3.11,9.6,70,5400,38,43,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,0,96.0,172.6,51.4,2734,119,3.43,3.23,9.2,90,5000,24,29,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,0,0,113.0,199.6,52.8,4066,258,3.63,4.17,8.1,176,4750,15,19,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,0,0,113.0,199.6,52.8,4066,258,3.63,4.17,8.1,176,4750,15,19,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,0,0,102.0,191.7,47.8,3950,326,3.54,2.76,11.5,262,5000,13,17,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,0,0,93.1,159.1,54.1,1890,91,3.03,3.15,9.0,68,5000,30,31,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,93.1,159.1,54.1,1900,91,3.03,3.15,9.0,68,5000,31,38,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,93.1,159.1,54.1,1905,91,3.03,3.15,9.0,68,5000,31,38,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,93.1,166.8,54.1,1945,91,3.03,3.15,9.0,68,5000,31,38,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,93.1,166.8,54.1,1950,91,3.08,3.15,9.0,68,5000,31,38,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0,0,95.3,169.0,49.6,2380,70,3.33,3.255,9.4,101,6000,17,23,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,1,0,0,95.3,169.0,49.6,2380,70,3.33,3.255,9.4,101,6000,17,23,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,1,0,0,95.3,169.0,49.6,2385,70,3.33,3.255,9.4,101,6000,17,23,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,1,0,0,95.3,169.0,49.6,2500,80,3.33,3.255,9.4,135,6000,16,23,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,0,0,98.8,177.8,53.7,2385,122,3.39,3.39,8.6,84,4800,26,32,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0,98.8,177.8,55.5,2410,122,3.39,3.39,8.6,84,4800,26,32,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,98.8,177.8,53.7,2385,122,3.39,3.39,8.6,84,4800,26,32,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0,98.8,177.8,55.5,2410,122,3.39,3.39,8.6,84,4800,26,32,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,98.8,177.8,55.5,2443,122,3.39,3.39,22.7,64,4650,36,42,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,1,0,0,98.8,177.8,55.5,2425,122,3.39,3.39,8.6,84,4800,26,32,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0,104.9,175.0,54.4,2670,140,3.76,3.16,8.0,120,5000,19,27,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,0,0,104.9,175.0,54.4,2700,134,3.43,3.64,22.0,72,4200,31,39,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-1,0,1,0,110.0,190.9,56.5,3515,183,3.58,3.64,21.5,123,4350,22,25,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-1,0,1,0,110.0,190.9,58.7,3750,183,3.58,3.64,21.5,123,4350,22,25,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,1,0,106.7,187.5,54.9,3495,183,3.58,3.64,21.5,123,4350,22,25,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-1,0,1,0,115.6,202.6,56.3,3770,183,3.58,3.64,21.5,123,4350,22,25,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-1,1,0,0,115.6,202.6,56.5,3740,234,3.46,3.1,8.3,155,4750,16,18,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,1,0,0,96.6,180.3,50.8,3685,234,3.46,3.1,8.3,155,4750,16,18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,0,0,120.9,208.1,56.7,3900,308,3.8,3.35,8.0,184,4500,14,16,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,0,0,112.0,199.2,55.4,3715,304,3.8,3.35,8.0,184,4500,14,16,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,1,0,102.7,178.4,54.8,2910,140,3.78,3.12,8.0,175,5000,19,24,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,1,0,0,93.7,157.3,50.8,1918,92,2.97,3.23,9.4,68,5500,37,41,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,0,93.7,157.3,50.8,1944,92,2.97,3.23,9.4,68,5500,31,38,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,0,93.7,157.3,50.8,2004,92,2.97,3.23,9.4,68,5500,31,38,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0,93.0,157.3,50.8,2145,98,3.03,3.39,7.6,102,5500,24,30,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,1,1,0,96.3,173.0,49.4,2370,110,3.17,3.46,7.5,116,5500,23,30,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,1,0,0,96.3,173.0,49.4,2328,122,3.35,3.46,8.5,88,5000,25,32,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,1,0,95.9,173.2,50.2,2833,156,3.58,3.86,7.0,145,5000,19,24,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,1,1,0,95.9,173.2,50.2,2921,156,3.59,3.86,7.0,145,5000,19,24,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,1,1,0,95.9,173.2,50.2,2926,156,3.59,3.86,7.0,145,5000,19,24,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,0,0,96.3,172.4,51.6,2365,122,3.35,3.46,8.5,88,5000,25,32,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,96.3,172.4,51.6,2405,122,3.35,3.46,8.5,88,5000,25,32,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0,96.3,172.4,51.6,2403,110,3.17,3.46,7.5,116,5500,23,30,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-1,1,0,0,96.3,172.4,51.6,2403,110,3.17,3.46,7.5,116,5500,23,30,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,0,0,94.5,165.3,54.5,1889,97,3.15,3.29,9.4,69,5200,31,37,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,94.5,165.3,54.5,2017,103,2.99,3.47,21.9,55,4800,45,50,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,0,0,94.5,165.3,54.5,1918,97,3.15,3.29,9.4,69,5200,31,37,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,94.5,165.3,54.5,1938,97,3.15,3.29,9.4,69,5200,31,37,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,94.5,170.2,53.5,2024,97,3.15,3.29,9.4,69,5200,31,37,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,94.5,165.3,54.5,1951,97,3.15,3.29,9.4,69,5200,31,37,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,94.5,165.6,53.3,2028,97,3.15,3.29,9.4,69,5200,31,37,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,94.5,165.3,54.5,1971,97,3.15,3.29,9.4,69,5200,31,37,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,94.5,170.2,53.5,2037,97,3.15,3.29,9.4,69,5200,31,37,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,0,95.1,162.4,53.3,2008,97,3.15,3.29,9.4,69,5200,31,37,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0,97.2,173.4,54.7,2324,120,3.33,3.47,8.5,97,5200,27,34,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0,97.2,173.4,54.7,2302,120,3.33,3.47,8.5,97,5200,27,34,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0,100.4,181.7,55.1,3095,181,3.43,3.27,9.0,152,5200,17,22,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,0,0,100.4,184.6,56.1,3296,181,3.43,3.27,9.0,152,5200,17,22,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,0,0,100.4,184.6,55.1,3060,181,3.43,3.27,9.0,152,5200,19,25,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,1,0,0,91.3,170.7,49.7,3071,181,3.43,3.27,9.0,160,5200,19,25,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,1,1,0,91.3,170.7,49.7,3139,181,3.43,3.27,7.8,200,5200,17,23,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,0,0,99.2,178.5,49.7,3139,181,3.43,3.27,9.0,160,5200,19,25,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,0,0,107.9,186.7,56.7,3020,120,3.46,3.19,8.4,97,5000,19,24,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,1,0,107.9,186.7,56.7,3197,152,3.7,3.52,21.0,95,4150,28,33,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,1,0,0,114.2,198.9,58.7,3230,120,3.46,3.19,8.4,97,5000,19,24,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
